CodeJeu|NomJeu|DateAchat|Emplacement|Marque|Annee_Edition|NbJoueurs|AgeJoueurs|Manque|TypeJeu|NbPieces|TempsJeu|EtatJeu|Descriptif1|Descriptif2|Descriptif3|LienImg|Commentaire|NbPoints|NiveauJeu|Classification|PrixEstimé|Auteur|Illustrateur|SurPlace|Contenu1|Contenu2
1139|Tom déménage|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1139 Tom déménage.PNG||1|||0|||N||
114|mini-pailles de construction|27/05/2012|||||||1 motricité fine encast puzzle|0||don juin 2019|le précédent 114 (encastrement sonore cotoons) a été déclassé et remplacé par les mini-pailles en juin2019.| | |C:\Ludopret\Annexes\Images\1140 Fais comme moi - joue avec les autres.PNG||1|||15|||N||
1140|Fais comme moi, joue avec les autres|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1141 Fais comme moi - Joue dehors.PNG||1|||0|||N||
1141|Fais comme moi, joue dehors|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1141 Fais comme moi - Joue dehors.PNG||1|||0|||N||
1142|Mes premièresexpériences En avion|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1142 Mes premières expériences en avion.PNG||1|||0|||N||
1143|Tit'ours doit porter des lunettes|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1143 Tit'ours doit porter des lunettes.PNG||1|||0|||N||
1144|Petit lapin blanc prend le train|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1144 Petit lapin blanc prend le train.PNG||1|||0|||N||
1145|Mon ami|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1145 Mon ami - Grund.PNG||1|||0|||N||
1146|Pomme a  mal aux dents|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1146 Pomme a mal aux dents.PNG||1|||0|||N||
1147|Ballon de gym bleu 25 cm|10/07/2018||Wesco|||||2 motricité globale|1||||||C:\Users\Utilisateur\Documents\sauvegardes ludopret\photos pour ludoprêt ne pas supprimer ni déplacer\photos motricité globale\1147.jpg||1|||0|||N||
1148|Ballon de gym bleu 25 cm|10/07/2018||Wesco|||||2 motricité globale|1||||||C:\Users\Utilisateur\Documents\sauvegardes ludopret\photos pour ludoprêt ne pas supprimer ni déplacer\photos motricité globale\1147.jpg||1|||0|||N||
1149|Ballon de gym bleu 25 cm|10/07/2018||Wesco|||||2 motricité globale|1||||||C:\Users\Utilisateur\Documents\sauvegardes ludopret\photos pour ludoprêt ne pas supprimer ni déplacer\photos motricité globale\1147.jpg||1|||0|||N||
115|ERGOTER 3|27/05/2012|||||||1 motricité fine encast puzzle|0||||||C:\Ludopret\Annexes\Images\115 Ergoter 3.PNG||1|||0|||N||
1150|Max|08/11/2018||majuscule||||||1||neuf oct18|poupée 70 cm à habiller déshabiller, motricité fine.| | |C:\Ludopret\Annexes\Images\1150 Max.PNG||1|||0|||N||
1151|Lola|08/11/2018||majuscule|||||1 motricité fine encast puzzle|1||neuf oct18|poupée 70 cm à habiller déshabiller, motricité fine.| | |C:\Ludopret\Annexes\Images\1151 Lola.PNG||1|||0|||N||
1152|livrets véritech série 12/12 cycle 2-1|12/11/2018||Sed|||||5 lang graph ecriture lecture|1||||||C:\Ludopret\Annexes\Images\1152 Livret Veritech série 12 , 12 cycle 2 , 1.PNG||1|||0|||N||
1153|livret véritech série 12/12 cycle3-1|12/11/2018||Sed|||||5 lang graph ecriture lecture|1||||||C:\Ludopret\Annexes\Images\1153 Livret Veritech série 12 , 12 cycle 3 , 1.PNG||1|||0|||N||
1154|Boitier véritech|12/11/2018||Sed|||||5 lang graph ecriture lecture|1||||||C:\Ludopret\Annexes\Images\1154 Boîtier Veritech.PNG||1|||0|||N||
1155|boitier véritech|12/11/2018||Sed|||||5 lang graph ecriture lecture|1||||||C:\Ludopret\Annexes\Images\1155 Boîtier Veritech.PNG||1|||0|||N||
1156|Boitier véritech|12/11/2018||Sed|||||5 lang graph ecriture lecture|1||||||C:\Ludopret\Annexes\Images\1156 Boîtier Veritech.PNG||1|||0|||N||
